,,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size
algo,,dal,dsb,ll,mcsplit,rl,dal,dsb,ll,mcsplit,rl
instance_a,instance_b,,,,,,,,,,
002.txt,122.txt,1760578040.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
002.txt,123.txt,1760578040.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
002.txt,125.txt,106.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0
002.txt,126.txt,10728.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
002.txt,145.txt,308.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0
002.txt,148.txt,911.0,,,,,16.0,13.0,13.0,13.0,13.0
002.txt,152.txt,25608828.0,,,,,46.0,,,,
002.txt,156.txt,206.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0
002.txt,157.txt,149.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
002.txt,158.txt,149.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
002.txt,159.txt,149.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,8.0,8.0
002.txt,161.txt,845926157.0,43.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,43.0
002.txt,163.txt,2937064727.0,,,,,34.0,,33.0,,33.0
002.txt,164.txt,84566022.0,43.0,43.0,43.0,43.0,45.0,43.0,43.0,43.0,43.0
002.txt,165.txt,2126129771.0,42.0,42.0,42.0,42.0,43.0,42.0,42.0,42.0,42.0
002.txt,166.txt,106.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
002.txt,167.txt,5014.0,18.0,18.0,18.0,18.0,19.0,18.0,18.0,18.0,18.0
002.txt,168.txt,2446.0,,,,,14.0,10.0,10.0,10.0,10.0
002.txt,169.txt,12208988.0,,,,,33.0,31.0,31.0,31.0,31.0
002.txt,170.txt,269.0,22.0,22.0,22.0,22.0,24.0,22.0,22.0,22.0,22.0
002.txt,171.txt,245570571.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0,31.0
002.txt,192.txt,5650617.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0
002.txt,196.txt,29518156.0,,,,,22.0,20.0,20.0,20.0,20.0
003.txt,004.txt,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,007.txt,101.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,008.txt,72.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,009.txt,116.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
003.txt,010.txt,63.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
003.txt,011.txt,110.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0
