,,ref_size,ref_size,ref_size,ref_size,ref_size,ref_size,unified_size,unified_size,unified_size,unified_size,unified_size,unified_size,
algo,,dal,dsb,ll,mcsplit,rl,rrsplit,dal,dsb,ll,mcsplit,rl,rrsplit,
instance_a,instance_b,,,,,,,,,,,,,
095.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
095.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
095.txt,171.txt,34,,32,,,32,32,32,32,32,32,32,32
095.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
096.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
096.txt,108.txt,24,,,22,,22,22,22,22,22,22,22,22
096.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
096.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
096.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
096.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
096.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
096.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
096.txt,171.txt,34,,,,,32,32,32,32,32,32,32,32
096.txt,196.txt,23,22,22,22,22,22,22,22,22,22,22,22,22
097.txt,099.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
097.txt,108.txt,24,,,,,22,22,22,22,22,22,22,22
097.txt,112.txt,20,19,19,19,19,19,19,19,19,19,19,19,19
097.txt,156.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
097.txt,157.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
097.txt,158.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
097.txt,159.txt,10,9,9,9,9,9,9,9,9,9,9,9,9
097.txt,170.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
097.txt,171.txt,34,,,,,32,32,32,32,32,32,32,32
097.txt,196.txt,23,,22,22,22,22,22,22,22,22,22,22,22
099.txt,125.txt,12,11,11,11,11,11,11,11,11,11,11,11,11
099.txt,145.txt,16,15,15,15,15,15,15,15,15,15,15,15,15
099.txt,166.txt,9,8,8,8,8,8,8,8,8,8,8,8,8
101.txt,145.txt,15,14,14,14,14,14,14,14,14,14,14,14,14
102.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
102.txt,169.txt,34,,,,,33,33,33,33,33,33,33,33
103.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
103.txt,196.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
105.txt,108.txt,25,24,24,24,24,24,24,24,24,24,24,24,24
106.txt,108.txt,24,23,23,23,23,23,23,23,23,23,23,23,23
107.txt,111.txt,27,26,26,26,26,26,26,26,26,26,26,26,26
